"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
89,127,0,6897,"Corner","1Story",5,8,1962,2010,"TA","Gd","CBlock","TA","TA","ALQ",659,381,1040,"GasA","Ex","Y",1040,0,1040,1,0,1,1,3,"TA",6,0,"Detchd",1,260,"TA","TA",0,104,0,0
1942,112.5,0,15783,"Inside","1Story",5,5,1952,1952,"TA","TA","CBlock","TA","TA","Rec",292,632,924,"GasA","TA","Y",924,0,924,0,0,1,0,2,"TA",6,0,"Detchd",1,420,"TA","TA",0,324,0,0
2613,159.5,79,8910,"Corner","1Story",6,6,1959,1959,"TA","TA","CBlock","TA","TA","ALQ",655,0,655,"GasA","Ex","Y",1194,0,1194,0,1,1,0,3,"TA",6,1,"BuiltIn",2,539,"TA","TA",0,0,192,0
373,82.5,85,11900,"Inside","1Story",7,5,1977,1977,"TA","Gd","CBlock","TA","TA","ALQ",822,564,1386,"GasA","TA","Y",1411,0,1411,0,0,2,0,3,"TA",6,1,"Attchd",2,544,"TA","TA",192,0,0,0
1122,250.58,72,8640,"Inside","1Story",7,5,2007,2008,"Gd","TA","PConc","Ex","TA","Unf",0,1372,1372,"GasA","Ex","Y",1372,0,1372,0,0,2,0,3,"Gd",6,0,"Attchd",2,529,"TA","TA",0,140,0,0
509,257.5,78,10206,"Inside","1Story",8,5,2008,2008,"Gd","TA","PConc","Gd","TA","Unf",0,1614,1614,"GasA","Ex","Y",1658,0,1658,0,0,2,1,3,"Gd",7,1,"Attchd",3,726,"TA","TA",144,44,0,0
159,144,64,6979,"Inside","SFoyer",6,5,1980,1980,"TA","TA","CBlock","TA","TA","GLQ",1056,0,1056,"GasA","Gd","Y",1056,0,1056,2,0,0,0,0,"TA",4,0,"Detchd",2,576,"TA","TA",264,56,0,0
438,255.5,87,11146,"Inside","1Story",8,5,2006,2006,"Gd","TA","PConc","Ex","TA","Unf",0,1709,1709,"GasA","Ex","Y",1717,0,1717,0,0,2,0,3,"Gd",7,1,"Attchd",3,908,"TA","TA",169,39,0,0
201,109.5,51,6120,"Inside","1Story",6,5,1923,1950,"TA","TA","BrkTil","Fa","Fa","ALQ",960,164,1124,"GasA","TA","Y",1068,0,1068,1,0,1,0,2,"TA",5,1,"Detchd",1,288,"TA","TA",0,0,128,0
2839,115,60,8172,"Inside","1Story",5,7,1955,1990,"TA","TA","CBlock","TA","TA","Rec",167,697,864,"GasA","TA","Y",864,0,864,1,0,1,0,2,"TA",5,0,"Detchd",2,572,"TA","TA",0,0,0,0
1522,189,51,9842,"Inside","2Story",5,6,1921,1998,"TA","TA","BrkTil","TA","Fa","Unf",0,612,612,"GasA","Ex","Y",990,1611,2601,0,0,3,1,4,"TA",8,0,"BuiltIn",2,621,"TA","TA",183,0,301,0
1645,174,0,10960,"Inside","1Story",6,5,1984,1984,"TA","TA","CBlock","Gd","TA","GLQ",256,1028,1284,"GasA","TA","Y",1284,0,1284,1,0,2,0,3,"TA",5,0,"Attchd",2,480,"TA","TA",0,0,192,0
4,244,93,11160,"Corner","1Story",7,5,1968,1968,"Gd","TA","CBlock","TA","TA","ALQ",1065,1045,2110,"GasA","Ex","Y",2110,0,2110,1,0,2,1,3,"Ex",8,2,"Attchd",2,522,"TA","TA",0,0,0,0
2309,252,0,39384,"CulDSac","1Story",6,6,1957,1957,"TA","TA","CBlock","Gd","TA","ALQ",1110,595,1705,"GasA","Ex","Y",1390,0,1390,1,0,1,1,1,"Ex",4,2,"Attchd",2,550,"TA","TA",0,189,0,0
861,133.9,60,7200,"Inside","SFoyer",5,8,1972,2003,"TA","Gd","CBlock","Gd","TA","GLQ",660,108,768,"GasA","Gd","Y",768,0,768,0,1,1,0,2,"TA",5,0,"Detchd",1,396,"TA","TA",192,0,0,0
1215,140,90,9900,"Corner","1Story",5,5,1961,1961,"TA","Gd","CBlock","TA","TA","Unf",0,1114,1114,"GasA","TA","Y",1114,0,1114,1,0,1,0,3,"TA",5,0,"Attchd",2,451,"TA","TA",0,0,0,164
2520,188,36,3640,"CulDSac","1Story",8,5,1980,1980,"Gd","TA","CBlock","Gd","TA","GLQ",860,176,1036,"GasA","TA","Y",1036,0,1036,1,0,1,0,1,"Gd",4,1,"Detchd",2,484,"TA","TA",133,108,0,0
2241,152,75,13710,"Inside","1.5Fin",5,5,1950,1950,"TA","TA","CBlock","TA","TA","BLQ",420,490,910,"GasA","TA","Y",910,648,1558,0,0,1,1,4,"TA",6,0,"Attchd",1,282,"TA","TA",289,0,0,0
689,145,75,8604,"Inside","SFoyer",5,7,1978,1978,"TA","Gd","CBlock","Gd","TA","GLQ",941,0,941,"GasA","Gd","Y",941,0,941,1,0,1,0,2,"Gd",4,0,"Attchd",2,564,"TA","TA",0,40,0,0
658,114,80,8146,"Corner","2Story",4,8,1900,2003,"Gd","Gd","BrkTil","Fa","TA","Unf",0,405,405,"GasA","Gd","Y",717,322,1039,0,0,1,0,2,"TA",6,0,"Detchd",1,281,"TA","TA",0,0,168,111
874,219.5,0,9375,"Inside","2Story",7,5,1997,1998,"TA","TA","PConc","Gd","TA","GLQ",739,318,1057,"GasA","Ex","Y",1057,977,2034,1,0,2,1,3,"Gd",8,0,"Attchd",2,645,"TA","TA",576,36,0,0
1507,96,57,8050,"Inside","1.5Fin",5,8,1947,1993,"TA","Gd","Slab","None","None","None",0,0,0,"GasA","Gd","Y",929,208,1137,0,0,1,1,4,"TA",8,0,"None",0,0,"None","None",0,0,0,0
1987,137,57,9639,"Inside","2Story",4,8,1900,1950,"TA","TA","PConc","TA","TA","Unf",0,1075,1075,"GasA","Ex","Y",1156,642,1798,0,0,2,1,4,"TA",7,0,"Detchd",2,342,"TA","TA",0,0,160,0
923,155,80,14680,"Inside","1Story",5,4,1960,1960,"TA","TA","CBlock","TA","TA","Rec",793,480,1273,"GasA","Ex","Y",1273,0,1273,0,0,1,0,2,"TA",5,0,"Attchd",1,307,"TA","TA",483,0,0,115
1778,320,84,11670,"Corner","1Story",9,5,2006,2006,"Ex","TA","PConc","Ex","Gd","Unf",0,1905,1905,"GasA","Ex","Y",1905,0,1905,0,0,2,0,3,"Ex",8,1,"Attchd",3,788,"TA","TA",0,191,0,0
2555,121.6,51,4712,"Inside","1.5Fin",4,7,1946,1950,"TA","TA","CBlock","TA","TA","ALQ",384,363,747,"GasA","TA","Y",774,456,1230,1,0,1,1,3,"TA",5,0,"Detchd",1,305,"TA","TA",0,57,0,63
2329,275,0,6563,"CulDSac","1Story",8,5,1985,1985,"Gd","TA","PConc","Gd","TA","GLQ",1148,594,1742,"GasA","TA","Y",1742,0,1742,1,0,2,0,2,"Gd",5,1,"Attchd",2,564,"TA","TA",114,28,234,0
2854,167,54,9399,"Inside","2.5Unf",7,8,1919,1950,"TA","TA","BrkTil","TA","TA","Unf",0,818,818,"GasA","TA","Y",818,818,1636,0,0,1,1,4,"Gd",7,1,"Detchd",1,288,"Fa","TA",0,0,212,0
750,155,57,8094,"Inside","2Story",6,6,1915,1950,"TA","TA","PConc","TA","TA","Unf",0,1048,1048,"GasA","Gd","Y",1048,720,1768,0,0,2,0,3,"TA",8,0,"Detchd",2,576,"Fa","Fa",0,0,150,0
2270,282,80,11305,"Inside","1Story",8,5,2002,2002,"Gd","TA","PConc","Gd","TA","GLQ",1329,593,1922,"GasA","Ex","Y",1922,0,1922,1,0,2,0,2,"Gd",6,1,"Attchd",3,692,"TA","TA",201,64,0,0
2781,205,118,13704,"Corner","1Story",7,5,2001,2002,"Gd","TA","PConc","Gd","TA","Unf",0,1541,1541,"GasA","Ex","Y",1541,0,1541,0,0,2,0,3,"Gd",6,1,"Attchd",3,843,"TA","TA",468,81,0,0
876,178,70,9100,"Inside","1Story",7,5,2001,2001,"Gd","TA","PConc","Gd","TA","Unf",0,1212,1212,"GasA","Ex","Y",1212,0,1212,0,0,2,0,3,"Gd",6,0,"Attchd",2,573,"TA","TA",356,0,0,0
676,133,60,12144,"Inside","1Story",5,7,1949,1950,"Gd","TA","CBlock","TA","TA","Rec",375,457,832,"GasA","Gd","Y",1036,0,1268,0,0,1,0,3,"TA",6,1,"Attchd",1,288,"TA","TA",0,28,0,0
2249,156,0,7540,"CulDSac","SFoyer",6,6,1978,1978,"TA","TA","CBlock","Gd","TA","GLQ",773,115,888,"GasA","Ex","Y",912,0,912,1,0,1,0,2,"TA",5,1,"Attchd",2,470,"TA","TA",0,0,0,192
2000,152,40,5400,"Corner","1Story",6,7,1926,2004,"TA","Gd","BrkTil","TA","TA","LwQ",370,779,1149,"GasA","Gd","Y",1149,467,1616,0,0,2,0,3,"Gd",5,0,"Detchd",1,216,"TA","TA",0,0,183,0
844,204,78,10335,"Inside","1Story",7,5,1999,1999,"Gd","TA","PConc","Gd","TA","GLQ",679,811,1490,"GasA","Ex","Y",1501,0,1501,1,0,2,0,3,"Gd",6,0,"Attchd",2,577,"TA","TA",144,29,0,0
1616,225,0,12394,"Corner","2Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","Unf",0,847,847,"GasA","Ex","Y",847,886,1733,0,0,2,1,3,"Gd",7,1,"BuiltIn",2,433,"TA","TA",100,48,0,0
1852,301,0,8010,"Inside","2Story",8,5,2003,2004,"Gd","TA","PConc","Ex","TA","GLQ",964,90,1054,"GasA","Ex","Y",1072,976,2048,1,0,2,1,3,"Gd",8,2,"Detchd",2,552,"TA","TA",0,48,0,180
73,233,76,10142,"Inside","2Story",7,5,2004,2004,"Gd","TA","PConc","Gd","TA","GLQ",656,300,956,"GasA","Ex","Y",956,1128,2084,1,0,2,1,4,"Gd",8,0,"BuiltIn",2,618,"TA","TA",0,45,0,0
1461,274,0,9720,"CulDSac","2Story",9,5,2001,2002,"Gd","TA","PConc","Gd","TA","GLQ",1194,163,1357,"GasA","Ex","Y",1366,581,1947,1,0,2,1,3,"Gd",7,1,"BuiltIn",3,725,"TA","TA",168,116,0,0
102,177,0,2980,"Corner","2Story",6,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",466,290,756,"GasA","Ex","Y",756,756,1512,1,0,2,1,2,"Gd",5,0,"Detchd",2,440,"TA","TA",0,32,0,0
812,118.858,64,7018,"Inside","1Story",5,5,1979,1979,"TA","TA","Slab","None","None","None",0,0,0,"GasA","TA","Y",1535,0,1535,0,0,2,0,4,"TA",8,0,"Attchd",2,400,"TA","TA",0,0,0,0
594,130,62,7130,"Inside","1Story",5,6,1967,1967,"TA","TA","PConc","TA","TA","BLQ",648,216,864,"GasA","TA","Y",864,0,864,0,1,1,0,2,"TA",5,0,"Attchd",1,312,"TA","TA",0,0,0,0
1948,103.2,55,5500,"Inside","1.5Unf",4,6,1956,1956,"TA","TA","CBlock","TA","TA","Unf",0,882,882,"GasA","Ex","Y",882,0,882,0,0,1,0,1,"TA",4,0,"None",0,0,"None","None",0,0,0,0
2450,350,83,10019,"Inside","2Story",8,5,1995,1995,"Gd","TA","PConc","Gd","TA","ALQ",527,815,1342,"GasA","Ex","Y",1358,1368,2726,0,0,2,1,4,"Gd",9,1,"Attchd",3,725,"TA","TA",307,169,168,0
1466,183,72,7226,"CulDSac","2Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","Unf",0,798,798,"GasA","Ex","Y",798,842,1640,0,0,2,1,3,"Gd",6,0,"Attchd",2,595,"TA","TA",0,45,0,0
704,103,56,10134,"Inside","1.5Fin",5,5,1910,1950,"TA","TA","BrkTil","Fa","TA","Unf",0,801,801,"GasA","Gd","N",801,646,1447,0,0,1,0,3,"TA",6,0,"None",0,0,"None","None",80,0,244,0
1395,108,60,10200,"Inside","1Story",5,8,1940,1997,"TA","TA","PConc","TA","TA","Unf",0,672,672,"GasA","Ex","Y",672,0,672,0,0,1,0,2,"TA",4,0,"Detchd",1,240,"TA","TA",168,0,0,0
2408,332.2,61,7740,"Inside","1Story",9,5,2006,2006,"Gd","TA","PConc","Ex","Gd","GLQ",1023,663,1686,"GasA","Ex","Y",1686,0,1686,1,0,2,0,1,"Ex",6,1,"Attchd",3,899,"TA","TA",266,100,0,0
78,99.5,55,7892,"Inside","1Story",6,5,1979,1979,"TA","TA","CBlock","Gd","TA","Unf",0,918,918,"GasA","TA","Y",918,0,918,0,0,2,0,2,"TA",5,1,"Attchd",1,264,"TA","TA",28,0,0,0
1871,136.905,0,11500,"Corner","1Story",5,6,1976,1976,"TA","TA","CBlock","TA","TA","Unf",0,1680,1680,"GasA","Fa","Y",1680,0,1680,0,0,2,0,4,"TA",8,0,"Detchd",2,528,"TA","TA",0,0,0,0
679,90,60,7200,"Inside","1Story",4,5,1949,1950,"TA","TA","Slab","None","None","None",0,0,0,"Wall","Fa","N",1040,0,1040,0,0,2,0,2,"TA",6,0,"Detchd",2,420,"TA","TA",0,0,0,0
627,205,85,13600,"Inside","2Story",7,6,1965,1990,"TA","TA","CBlock","TA","TA","BLQ",454,314,768,"GasA","TA","Y",1186,800,1986,0,0,2,1,3,"TA",7,3,"Attchd",2,486,"TA","TA",0,42,0,189
1307,295,87,18386,"Inside","2.5Fin",7,9,1880,2002,"TA","TA","BrkTil","TA","TA","Unf",0,1470,1470,"GasA","Ex","Y",1675,1818,3493,0,0,3,0,3,"Gd",10,1,"Attchd",3,870,"TA","TA",302,0,0,0
2157,131.5,36,4435,"Inside","1Story",6,5,2003,2003,"Gd","TA","PConc","Gd","TA","GLQ",659,189,848,"GasA","Ex","Y",848,0,848,1,0,1,0,1,"Gd",3,0,"Attchd",2,420,"TA","TA",140,0,0,0
2109,217,75,11750,"Inside","1Story",7,5,2005,2006,"Gd","TA","PConc","Gd","TA","GLQ",20,1526,1546,"GasA","Ex","Y",1546,0,1546,0,0,2,0,3,"Gd",7,0,"Attchd",3,796,"TA","TA",144,42,0,0
2298,129.5,54,7244,"Inside","SFoyer",5,7,1970,1970,"TA","Gd","CBlock","Gd","TA","ALQ",619,149,768,"GasA","Ex","Y",768,0,768,1,0,1,0,2,"TA",5,0,"Detchd",2,624,"TA","TA",104,0,0,0
152,119,70,13587,"Inside","1Story",5,5,1958,1958,"TA","TA","CBlock","TA","TA","Rec",532,456,988,"GasA","TA","Y",988,0,988,1,0,1,0,2,"TA",5,0,"Attchd",1,264,"TA","TA",0,0,0,0
29,184,26,5858,"FR2","1Story",7,5,1999,1999,"Gd","TA","PConc","Gd","TA","GLQ",1051,354,1405,"GasA","Ex","Y",1337,0,1337,1,0,2,0,2,"Gd",5,1,"Attchd",2,511,"TA","TA",203,68,0,0
366,187.5,0,5814,"CulDSac","1Story",8,5,1984,1984,"Gd","TA","CBlock","Gd","TA","GLQ",1036,184,1220,"GasA","Gd","Y",1360,0,1360,1,0,1,0,1,"Gd",4,1,"Attchd",2,565,"TA","TA",63,0,0,0
620,128.9,80,9600,"Inside","1Story",5,6,1956,1956,"TA","TA","CBlock","TA","TA","Rec",504,546,1050,"GasA","Gd","Y",1050,0,1050,0,0,1,0,2,"TA",5,0,"Attchd",1,338,"TA","TA",0,0,0,0
422,462,110,14257,"Inside","2Story",9,5,2007,2007,"Ex","TA","PConc","Ex","TA","GLQ",1360,416,1776,"GasA","Ex","Y",1794,978,2772,1,0,3,1,4,"Ex",10,3,"BuiltIn",3,754,"TA","TA",135,64,0,0
2003,87,52,9439,"Inside","1.5Fin",5,5,1930,1950,"TA","TA","CBlock","TA","TA","LwQ",324,588,912,"GasA","Gd","Y",912,336,1248,0,0,1,0,2,"TA",6,0,"Detchd",1,160,"Fa","Fa",0,0,192,0
817,269.5,0,7939,"Inside","2Story",7,5,2000,2000,"TA","TA","PConc","Ex","TA","GLQ",820,348,1168,"GasA","Ex","Y",1168,1619,2787,2,0,4,2,6,"TA",8,2,"BuiltIn",4,820,"TA","TA",312,0,0,0
1063,316,85,10574,"Inside","2Story",8,5,2004,2004,"Gd","TA","PConc","Ex","TA","GLQ",856,292,1148,"GasA","Ex","Y",1170,1162,2332,1,0,2,1,4,"Ex",9,1,"BuiltIn",3,756,"TA","TA",224,142,0,0
703,135,60,3378,"Inside","2Story",7,8,1946,1992,"TA","Gd","CBlock","TA","TA","Unf",0,651,651,"GasA","Gd","Y",707,682,1389,0,0,1,1,3,"TA",6,2,"Detchd",1,240,"TA","TA",0,0,126,0
824,212,68,10769,"Inside","2Story",8,5,2007,2007,"Gd","TA","PConc","Gd","TA","GLQ",20,846,866,"GasA","Ex","Y",866,902,1768,0,0,2,1,3,"Gd",7,0,"Attchd",2,578,"TA","TA",144,105,0,0
2838,104.9,60,9738,"Inside","1.5Fin",5,7,1924,1950,"TA","Gd","BrkTil","TA","TA","BLQ",392,392,784,"GasA","Gd","Y",949,272,1221,1,0,1,0,4,"TA",7,0,"Attchd",1,392,"TA","TA",0,0,236,0
2631,155,69,7590,"Inside","2Story",6,5,1966,1966,"TA","TA","CBlock","TA","TA","BLQ",512,148,660,"GasA","TA","Y",660,688,1348,0,0,1,1,3,"TA",6,1,"Attchd",2,453,"TA","TA",188,108,0,0
177,119,60,7200,"Corner","1Story",5,7,1940,1992,"TA","Gd","CBlock","TA","TA","BLQ",510,278,788,"GasA","TA","Y",804,0,804,1,0,1,0,2,"Gd",4,2,"Attchd",1,240,"TA","TA",0,0,154,0
1492,108,63,13907,"Inside","1Story",5,6,1940,1969,"TA","TA","CBlock","TA","TA","BLQ",290,706,996,"GasA","Ex","Y",996,0,996,1,0,1,0,3,"TA",6,1,"None",0,0,"None","None",144,0,0,0
